City,Region,Month,Year,Rainfall(mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph),Heat Index(max),Heat index(min),Heat index(mean),Heat  Wave
Nizamabad,Plain,December,2021,0.02680756396,15.83058954,30.2080089,41.11501669,93.60945495,0.01023359288,6.184538376,44.45227126,27.60498745,36.02862935,0
Khammam,Hilly,January,2021,0.001075268817,19.60092166,33.18463902,47.03947773,97.45391705,,,59.04256787,25.40057386,42.22157087,1
Khammam,Hilly,February,2021,0,19.19693878,34.1622449,40.17380952,96.78180272,,,64.07819493,25.457133,44.76766397,1
Khammam,Hilly,March,2021,0,21.67204301,36.74408602,37.24070661,96.28187404,,,79.56461334,24.89619,52.23040167,1
Khammam,Hilly,April,2021,0.496984127,24.56873016,38.95238095,38.81365079,93.00349206,0.02666666667,8.266825397,92.32748556,25.35692606,58.84220581,1
Khammam,Hilly,May,2021,1.435866261,26.48733536,39.05947315,27.40587639,59.95420466,0.02239108409,6.414387031,59.02978937,25.77180319,42.40079628,1
Khammam,Hilly,June,2021,4.892380952,26.14301587,35.54619048,54.71571429,93.9,0.03174603175,9.625555556,64.58064932,24.65741762,44.61903347,1
Khammam,Hilly,July,2021,13.00168971,25.15176651,33.24577573,70.69308756,98.04116743,0.02196620584,8.152380952,41.47588746,17.98230339,29.72909543,0
Khammam,Hilly,August,2021,6.161290323,25.44301075,34.00199693,67.90675883,97.98648233,0.03241167435,7.876958525,56.19129388,22.80425433,39.4977741,1
Khammam,Hilly,September,2021,9.528730159,25.19698413,33.2931746,73.58777778,99.4047619,0.01555555556,7.113968254,47.50845678,19.8208542,33.66465549,1
Khammam,Hilly,October,2021,1.77250384,24.38863287,34.82565284,61.28018433,99.4499232,0.01321044547,6.203993856,68.84824827,24.65151226,46.74988026,1
Khammam,Hilly,November,2021,1.487142857,22.8631746,32.67825397,66.5231746,99.06507937,0,0,54.94539763,23.55736992,39.25138377,1
Khammam,Hilly,December,2021,0.00599078341,18.24654378,32.21812596,49.32150538,98.23840246,0.001996927803,6.306451613,56.10696401,26.02620206,41.06658303,1
Karimnagar,Plain,January,2021,0.08447580645,18.42580645,30.99092742,45.05524194,94.98447581,,,46.61280804,25.92931573,36.27106188,0
Karimnagar,Plain,February,2021,0.03973214286,16.71986607,32.06026786,34.03883929,90.79397321,,,49.56192324,26.06499914,37.81346119,0
Karimnagar,Plain,March,2021,0,20.02197581,35.41995968,30.61108871,84.74314516,,,61.89319569,24.59167842,43.24243705,1
Karimnagar,Plain,April,2021,0.2725,23.74145833,38.05229167,29.33145833,82.00083333,0.06875,9.840416667,75.69085622,24.86283308,50.27684465,1
Karimnagar,Plain,May,2021,0.2405585106,26.52792553,38.84255319,20.76569149,49.65531915,0.1746010638,8.696542553,52.6980795,25.82378488,39.26093219,0
Karimnagar,Plain,June,2021,8.0575,25.00770833,34.19708333,55.12854167,93.25145833,0.1185416667,12.875625,52.99086527,22.54652538,37.76869532,0
Karimnagar,Plain,July,2021,12.74072581,24.9421371,32.04112903,71.32782258,96.20947581,0.1588709677,11.18387097,36.88127509,17.90489716,27.39308612,0
Karimnagar,Plain,August,2021,10.13055461,24.93186519,32.19500617,71.12490214,96.3235745,0.1567561641,10.75013481,41.27016058,19.57267328,30.42141693,0
Karimnagar,Plain,September,2021,11.91916667,24.35458333,31.886875,76.69270833,97.796875,0.09625,9.282083333,37.29893873,16.90491169,27.10192521,0
Karimnagar,Plain,October,2021,1.686491935,22.39778226,33.28306452,55.40020161,96.4641129,0.0185483871,6.24375,58.08829998,24.18717162,41.1377358,1
Karimnagar,Plain,November,2021,0.8185416667,20.96666667,31.95479167,51.89395833,94.29270833,0,0,49.74327444,24.66832973,37.20580209,0
Karimnagar,Plain,December,2021,0,16.71653226,30.62943548,41.33528226,94.74254032,0.008870967742,5.885282258,46.6456697,26.90963347,36.77765159,0
Nizamabad,Plain,January,2022,0.652057842,15.96829811,28.767297,48.29632925,94.3974416,0.01179087875,6.170300334,38.2317035,27.77018282,33.00094316,0
Nizamabad,Plain,February,2022,0,11.21428571,36.70357143,13.31071429,100,0,64.85714286,101.7661948,19.20893543,60.4875651,1
Nizamabad,Plain,March,2022,0.005561735261,20.88286986,36.57363737,28.17586207,81.64593993,0.006562847608,6.166852058,66.92449934,24.33976459,45.63213196,1
